subject_id,game_difficulty,world_number,time,score,experience,game_status
BE09KE,easy,16,35346.0,18270.0,5,won
BE09KE,easy,17,60916.0,18270.0,5,won
BE09KE,easy,18,36065.0,18270.0,5,won
BE09KE,easy,19,22741.0,18270.0,5,won
BE09KE,normal,0,11208.0,18270.0,5,lost
BE09KE,normal,1,74981.0,18270.0,5,timed_out
BE09KE,normal,2,23459.0,18270.0,5,lost
BE09KE,normal,3,52532.0,18270.0,5,won
BE09KE,normal,4,26951.0,18270.0,5,won
BE09KE,normal,5,33619.0,18270.0,5,won
BE09KE,normal,6,49709.0,18270.0,5,won
BE09KE,normal,7,32208.0,18270.0,5,won
BE09KE,normal,8,15757.0,18270.0,5,lost
BE09KE,normal,9,25208.0,18270.0,5,won
BE09KE,normal,10,15748.0,18270.0,5,lost
BE09KE,normal,11,51472.0,18270.0,5,lost
BE09KE,normal,12,26250.0,18270.0,5,won
BE09KE,normal,13,2089.0,18270.0,5,lost
BE09KE,normal,14,74968.0,18270.0,5,timed_out
BE09KE,normal,15,45153.0,18270.0,5,won
BE09KE,normal,16,14932.0,18270.0,5,lost
BE09KE,normal,17,28693.0,18270.0,5,won
BE09KE,normal,18,27658.0,18270.0,5,won
BE09KE,normal,19,10149.0,18270.0,5,lost
BE09KE,hard,0,37443.0,18270.0,5,won
BE09KE,hard,1,25209.0,18270.0,5,lost
BE09KE,hard,2,54592.0,18270.0,5,won
BE09KE,hard,3,10144.0,18270.0,5,lost
BE09KE,hard,4,24502.0,18270.0,5,won
BE09KE,hard,5,13297.0,18270.0,5,lost
BE09KE,hard,6,9099.0,18270.0,5,lost
BE09KE,hard,7,30456.0,18270.0,5,lost
BE09KE,hard,8,13641.0,18270.0,5,lost
BE09KE,hard,9,74968.0,18270.0,5,timed_out
BE09KE,hard,10,30110.0,18270.0,5,won
BE09KE,hard,11,27993.0,18270.0,5,won
BE09KE,hard,12,54266.0,18270.0,5,won
BE09KE,hard,13,42689.0,18270.0,5,won
BE09KE,hard,14,74980.0,18270.0,5,timed_out
BE09KE,hard,15,18187.0,18270.0,5,lost
BE09KE,hard,16,16096.0,18270.0,5,lost
BE09KE,hard,17,21682.0,18270.0,5,lost
BE09KE,hard,18,55304.0,18270.0,5,won
BE09KE,hard,19,50046.0,18270.0,5,won
ED06RA,easy,0,36400.0,18259.0,2,won
ED06RA,easy,1,47591.0,18259.0,2,won
ED06RA,easy,2,31478.0,18259.0,2,won
ED06RA,easy,3,4187.0,18259.0,2,lost
ED06RA,easy,4,20628.0,18259.0,2,won
ED06RA,easy,5,62322.0,18259.0,2,won
ED06RA,easy,6,44095.0,18259.0,2,won
ED06RA,easy,7,21677.0,18259.0,2,won
ED06RA,easy,8,22034.0,18259.0,2,won
ED06RA,easy,9,39551.0,18259.0,2,won
ED06RA,easy,10,45500.0,18259.0,2,won
ED06RA,easy,11,25186.0,18259.0,2,won
ED06RA,easy,12,50040.0,18259.0,2,won
ED06RA,easy,13,43761.0,18259.0,2,won
ED06RA,easy,14,57060.0,18259.0,2,won
ED06RA,easy,15,63354.0,18259.0,2,won
ED06RA,easy,16,11182.0,18259.0,2,lost
ED06RA,easy,17,33952.0,18259.0,2,won
ED06RA,easy,18,64073.0,18259.0,2,won
ED06RA,easy,19,32892.0,18259.0,2,won
ED06RA,normal,0,74976.0,18259.0,2,timed_out
ED06RA,normal,1,54950.0,18259.0,2,won
ED06RA,normal,2,68616.0,18259.0,2,won
ED06RA,normal,3,8738.0,18259.0,2,lost
ED06RA,normal,4,22388.0,18259.0,2,lost
ED06RA,normal,5,14672.0,18259.0,2,lost
ED06RA,normal,6,74972.0,18259.0,2,timed_out
ED06RA,normal,7,51812.0,18259.0,2,won
ED06RA,normal,8,74973.0,18259.0,2,timed_out
ED06RA,normal,9,46206.0,18259.0,2,won
ED06RA,normal,10,61614.0,18259.0,2,won
ED06RA,normal,11,36059.0,18259.0,2,won
ED06RA,normal,12,43736.0,18259.0,2,lost
ED06RA,normal,13,48307.0,18259.0,2,won
ED06RA,normal,14,74974.0,18259.0,2,timed_out
ED06RA,normal,15,6635.0,18259.0,2,lost
ED06RA,normal,16,6634.0,18259.0,2,lost
ED06RA,normal,17,8737.0,18259.0,2,lost
ED06RA,normal,18,21008.0,18259.0,2,lost
ED06RA,normal,19,74982.0,18259.0,2,timed_out
ED06RA,hard,0,37786.0,18259.0,2,won
ED06RA,hard,1,12926.0,18259.0,2,lost
ED06RA,hard,2,41642.0,18259.0,2,won
ED06RA,hard,3,39885.0,18259.0,2,won
ED06RA,hard,4,36042.0,18259.0,2,won
ED06RA,hard,5,74975.0,18259.0,2,timed_out
ED06RA,hard,6,9089.0,18259.0,2,lost
ED06RA,hard,7,45846.0,18259.0,2,won
ED06RA,hard,8,5937.0,18259.0,2,lost
ED06RA,hard,9,9086.0,18259.0,2,lost
ED06RA,hard,10,42009.0,18259.0,2,won
ED06RA,hard,11,28344.0,18259.0,2,won
ED06RA,hard,12,18547.0,18259.0,2,lost
ED06RA,hard,13,50832.0,18259.0,2,lost
ED06RA,hard,14,32196.0,18259.0,2,won
ED06RA,hard,15,74977.0,18259.0,2,timed_out
