subject_id,game_difficulty,world_number,player_x_field,player_y_field,score,weighted_fix_distance_euclidean,weighted_fix_distance_manhattan
AL09OL,easy,11,7.0,13.0,15380.0,156.479001588965,1.8459016393442622
AL09OL,easy,11,8.0,13.0,15380.0,95.06872333931892,0.5612756264236902
AL09OL,easy,12,9.0,0.0,15380.0,313.02394005313926,3.7879493147142487
AL09OL,easy,12,9.0,2.0,15380.0,311.5882464757001,3.0
AL09OL,easy,12,10.0,2.0,15380.0,290.33083237328975,4.0
AL09OL,easy,12,11.0,3.0,15380.0,226.51137857517537,2.0
AL09OL,easy,12,12.0,3.0,15380.0,268.4583970966128,3.0
AL09OL,easy,12,13.0,4.0,15380.0,114.89773714046767,1.0
AL09OL,easy,12,13.0,5.0,15380.0,157.92359194735874,2.0
AL09OL,easy,12,13.0,6.0,15380.0,52.30829321496823,1.0
AL09OL,easy,12,13.0,7.0,15380.0,126.06647245578995,1.7358490566037736
AL09OL,easy,12,12.0,7.0,15380.0,183.79306730993497,1.6059957173447537
AL09OL,easy,12,12.0,9.0,15380.0,181.9369108136873,2.179372197309417
AL09OL,easy,12,11.0,9.0,15380.0,197.31055710433833,3.0
AL09OL,easy,12,12.0,10.0,15380.0,171.2411068239471,1.5714285714285714
AL09OL,easy,12,13.0,10.0,15380.0,169.17451070785728,2.0
AL09OL,easy,12,13.0,11.0,15380.0,259.8650832413565,3.0
AL09OL,easy,12,13.0,12.0,15380.0,263.3714341274467,2.9506726457399104
AL09OL,easy,12,14.0,12.0,15380.0,416.60734835560606,3.5148452305748576
AL09OL,easy,12,15.0,12.0,15380.0,262.838087047658,2.206713780918728
AL09OL,easy,12,16.0,12.0,15380.0,169.58193154930228,1.5182232346241458
AL09OL,easy,12,17.0,12.0,15380.0,197.95816118851377,1.7616772823779194
AL09OL,easy,12,18.0,12.0,15380.0,103.96216423654036,1.6321052631578947
AL09OL,easy,12,19.0,12.0,15380.0,110.67801904694558,1.0
AL09OL,easy,12,18.0,13.0,15380.0,167.8715170600712,1.6413857677902621
AL09OL,easy,12,17.0,13.0,15380.0,106.0726381727151,1.009809264305177
AL09OL,easy,12,16.0,13.0,15380.0,83.72581110578764,2.0
AL09OL,easy,13,9.0,0.0,15380.0,386.35328870463354,4.810344827586207
AL09OL,easy,13,8.0,0.0,15380.0,363.5092493665092,4.0
AL09OL,easy,13,7.0,1.0,15380.0,544.0464221550171,6.670103092783505
AL09OL,easy,13,7.0,5.0,15380.0,320.9920631031179,4.0
AL09OL,easy,13,8.0,5.0,15380.0,362.92025098390405,5.0
AL09OL,easy,13,8.0,6.0,15380.0,245.62079801891616,2.717948717948718
AL09OL,easy,13,8.0,7.0,15380.0,802.7985523374658,7.6
AL09OL,easy,13,9.0,7.0,15380.0,908.7308504365628,9.0
AL09OL,easy,13,11.0,7.0,15380.0,648.5461184281916,7.0
AL09OL,easy,13,13.0,7.0,15380.0,378.39105104917087,4.2727272727272725
AL09OL,easy,13,14.0,7.0,15380.0,352.2887462887912,4.0
AL09OL,easy,13,15.0,7.0,15380.0,332.97239543700397,4.0
AL09OL,easy,13,16.0,7.0,15380.0,233.10761484731964,3.282051282051282
AL09OL,easy,13,16.0,8.0,15380.0,180.87996603059568,2.2884615384615383
AL09OL,easy,13,16.0,9.0,15380.0,234.6568612498493,3.0097592713077423
AL09OL,easy,13,15.0,9.0,15380.0,230.0617426999544,2.1868131868131866
AL09OL,easy,13,14.0,9.0,15380.0,171.05264944761385,1.9182326053834433
AL09OL,easy,13,13.0,9.0,15380.0,337.39175757015613,3.9186046511627906
AL09OL,easy,13,12.0,9.0,15380.0,114.99432428602087,1.2426470588235294
AL09OL,easy,13,11.0,9.0,15380.0,221.2686510279644,2.0
AL09OL,easy,14,9.0,0.0,15380.0,786.198696962899,9.859649122807017
AL09OL,easy,14,10.0,0.0,15380.0,335.5205405676555,4.064516129032258
AL09OL,easy,14,11.0,0.0,15380.0,341.79053598609534,3.85
AL09OL,easy,14,11.0,1.0,15380.0,356.8811989802058,5.0
AL09OL,easy,14,11.0,3.0,15380.0,279.7308944557055,3.0
AL09OL,easy,14,11.0,5.0,15380.0,63.5053538787524,0.42105263157894735
AL09OL,easy,14,11.0,6.0,15380.0,148.98496624162453,2.0
AL09OL,easy,14,11.0,7.0,15380.0,263.1958132179334,3.125
AL09OL,easy,14,11.0,8.0,15380.0,131.7633907252813,1.146341463414634
AL09OL,easy,14,12.0,8.0,15380.0,320.9835937148261,5.0
AL09OL,easy,14,11.0,9.0,15380.0,392.93122007208024,3.865979381443299
AL09OL,easy,14,10.0,9.0,15380.0,357.0991095596363,3.1564625850340136
AL09OL,easy,14,9.0,9.0,15380.0,387.7527450533039,3.434017595307918
AL09OL,easy,14,8.0,9.0,15380.0,247.3500906129355,2.0875912408759123
AL09OL,easy,14,7.0,9.0,15380.0,458.10497801626394,4.688235294117647
AL09OL,easy,14,6.0,9.0,15380.0,442.4601561742134,4.582089552238806
